repo,tag,last_update
nvidia/cuda,11.0.3-devel-ubuntu16.04,2022-05-28 06:32:53
nvidia/cuda,11.0.3-devel-ubuntu18.04,2022-07-20 17:49:01
nvidia/cuda,11.0.3-devel-ubuntu20.04,2022-07-20 00:45:27
nvidia/cuda,11.0.3-runtime,2021-07-08 20:18:54
nvidia/cuda,11.0.3-runtime-centos7,2022-07-20 17:30:02
nvidia/cuda,11.0.3-runtime-centos8,2022-01-07 00:42:02
nvidia/cuda,11.0.3-runtime-rockylinux8,2022-05-28 06:31:16
nvidia/cuda,11.0.3-runtime-ubi7,2022-07-20 00:41:35
nvidia/cuda,11.0.3-runtime-ubi8,2022-05-28 06:37:05
nvidia/cuda,11.0.3-runtime-ubuntu16.04,2022-05-28 06:32:45
nvidia/cuda,11.0.3-runtime-ubuntu18.04,2022-07-20 17:47:04
nvidia/cuda,11.0.3-runtime-ubuntu20.04,2022-07-20 00:45:20
nvidia/cuda,11.1.1-base,2021-06-07 18:46:53
nvidia/cuda,11.1.1-base-centos7,2022-10-28 05:57:36
nvidia/cuda,11.1.1-base-centos8,2022-01-07 00:46:30
nvidia/cuda,11.1.1-base-rockylinux8,2022-10-28 07:12:51
nvidia/cuda,11.1.1-base-ubi7,2022-10-28 07:12:24
nvidia/cuda,11.1.1-base-ubi8,2022-10-28 07:16:59
nvidia/cuda,11.1.1-base-ubuntu16.04,2022-05-28 05:37:16
nvidia/cuda,11.1.1-base-ubuntu18.04,2022-10-28 21:28:23
nvidia/cuda,11.1.1-base-ubuntu20.04,2022-10-28 02:29:38
nvidia/cuda,11.1.1-cudnn8-devel,2021-06-07 18:46:49
nvidia/cuda,11.1.1-cudnn8-devel-centos7,2022-10-28 05:56:06
nvidia/cuda,11.1.1-cudnn8-devel-centos8,2022-01-07 00:45:55
nvidia/cuda,11.1.1-cudnn8-devel-rockylinux8,2022-10-28 07:08:57
nvidia/cuda,11.1.1-cudnn8-devel-ubi7,2022-10-28 07:09:45
nvidia/cuda,11.1.1-cudnn8-devel-ubi8,2022-10-28 07:12:46
nvidia/cuda,11.1.1-cudnn8-devel-ubuntu16.04,2022-05-28 05:35:55
nvidia/cuda,11.1.1-cudnn8-devel-ubuntu18.04,2022-10-28 21:24:22
nvidia/cuda,11.1.1-cudnn8-devel-ubuntu20.04,2022-10-28 02:28:21
nvidia/cuda,11.1.1-cudnn8-runtime,2021-06-07 18:46:44
nvidia/cuda,11.1.1-cudnn8-runtime-centos7,2022-10-28 05:57:29
nvidia/cuda,11.1.1-cudnn8-runtime-centos8,2022-01-07 00:46:09
nvidia/cuda,11.1.1-cudnn8-runtime-rockylinux8,2022-10-28 07:12:32
nvidia/cuda,11.1.1-cudnn8-runtime-ubi7,2022-10-28 07:11:25
nvidia/cuda,11.1.1-cudnn8-runtime-ubi8,2022-10-28 07:16:37
